id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_klbi,jenis_usaha,jumlah_umkm,satuan,tahun
75,32,JAWA BARAT,3278,KOTA TASIKMALAYA,86,AKTIVITAS KESEHATAN MANUSIA,0.0,USAHA,2023
76,32,JAWA BARAT,3278,KOTA TASIKMALAYA,87,AKTIVITAS SOSIAL DI DALAM PANTI,0.0,USAHA,2023
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,88,AKTIVITAS SOSIAL TANPA AKOMODASI,0.0,USAHA,2023
78,32,JAWA BARAT,3278,KOTA TASIKMALAYA,90,"AKTIVITAS KESENIAN, HIBURAN, DAN KREATIVITAS",0.0,USAHA,2023
79,32,JAWA BARAT,3278,KOTA TASIKMALAYA,91,"PERPUSTAKAAN, ARSIP, MUSEUM, DAN KEGIATAN KEBUDAYAAN LAINNYA",0.0,USAHA,2023
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,93,"AKTIVITAS OLAHRAGA, HIBURAN, DAN REKREASI",0.0,USAHA,2023
81,32,JAWA BARAT,3278,KOTA TASIKMALAYA,94,AKTIVITAS KEANGGOTAAN ORGANISASI,0.0,USAHA,2023
82,32,JAWA BARAT,3278,KOTA TASIKMALAYA,95,PERBAIKAN KOMPUTER DAN BARANG PRIBADI,76.0,USAHA,2023
83,32,JAWA BARAT,3278,KOTA TASIKMALAYA,96,AKTIVITAS JASA LAINNYA,303.0,USAHA,2023
84,32,JAWA BARAT,3278,KOTA TASIKMALAYA,97,AKTIVITAS RUMAH TANGGA SEBAGAI PEMBERI KERJA,,USAHA,2023
85,32,JAWA BARAT,3278,KOTA TASIKMALAYA,98,AKTIVITAS YANG MENGHASILKAN BARANG DAN JASA OLEH RUMAH TANGGA YANG DIGUNAKAN UNTUK MEMENUHI KEBUTUHAN SENDIRI,24.0,USAHA,2023
86,32,JAWA BARAT,3278,KOTA TASIKMALAYA,99,AKTIVITAS BADAN INTERNASIONAL DAN BADAN EKSTRA INTERNASIONAL LAINNYA,0.0,USAHA,2023
87,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,"PERTANIAN TANAMAN, PETERNAKAN, PERBURUAN DAN KEGIATAN YBDI",0.0,USAHA,2024
88,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,PENGELOLAAN KEHUTANAN DAN PENEBANGAN,0.0,USAHA,2024
89,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,PERIKANAN,0.0,USAHA,2024
90,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,PERTAMBANGAN BATU BARA DAN LIGNIT,0.0,USAHA,2024
